Date/Time (LST),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa)
2023-01-01 00:00:00,3.493428306022465,1.8234979769861859,91.6503483548186,11.907909229501366,20.150019669012714,101.61635832153614
2023-01-01 01:00:00,1.187937491724893,-0.23033386961270796,92.908643193312,7.478435944094168,17.519416678750527,100.41475131387577
2023-01-01 02:00:00,1.9652500572791913,-1.5804709408953554,82.27139500912727,18.191745104191803,21.71939586262906,101.48106274277107
2023-01-01 03:00:00,3.2164305813707093,-0.6094723245768954,80.87048547026197,28.404504460231443,24.907133100569858,102.60327803731606
2023-01-01 04:00:00,-0.46830674944667194,-1.59465132874924,94.36827710348716,0.0,25.0,101.88616580039277
2023-01-01 05:00:00,-0.29790304534370254,-5.042752030318462,76.2757550751262,16.15026079147417,21.212884734458395,100.88758618178352
2023-01-01 06:00:00,3.8282986120925893,2.6204134774866996,93.96057432697054,13.398672044333596,21.93501088928283,101.55719897035593
2023-01-01 07:00:00,2.99933555237308,-0.16584978883120183,84.1740732939786,21.713400764504655,19.366508455763444,101.05933482546979
2023-01-01 08:00:00,1.5610512281300952,-2.2751908496735704,80.81878961098167,17.13196628237689,23.842804148126117,101.30788018469472
2023-01-01 09:00:00,4.791024861659325,0.30714836667498346,77.58061752507828,7.480306682611809,19.757856829045927,100.9743889478515
2023-01-01 10:00:00,4.0731646143750755,0.2168168858453643,80.71826135735145,11.809460643333818,25.0,101.1356647941146
2023-01-01 11:00:00,5.362635718372089,1.1557233860929221,78.96543833860417,7.03974143196511,15.070667540329444,101.51209335307418
2023-01-01 12:00:00,7.983924543132067,5.6261237729608435,88.21099614914388,25.76007138598598,22.20185163773769,100.30664130041805
2023-01-01 13:00:00,4.708973416617142,0.4496729616310935,78.70349772506975,15.213116486719422,25.0,100.28412117301002
2023-01-01 14:00:00,5.880291353896129,4.559831968357429,93.3977030723065,34.01190685753008,24.91917258161252,99.91145744616878
2023-01-01 15:00:00,8.705054072963396,4.125787448721285,77.10366687878945,14.393391861853793,25.0,99.69972889549629
2023-01-01 16:00:00,7.974337759331153,4.783968254716208,84.04815247692528,7.915932330895372,25.0,100.08271730777952
2023-01-01 17:00:00,10.458123796635888,6.188932716785914,78.65404460075013,0.0,18.979727015789948,101.45946250680413
2023-01-01 18:00:00,7.514078867879773,4.704805729806573,85.953634309634,0.0,23.522678764554634,100.40721248450811
